icao,name,manufacturer,type,wtc,recat_eu,mtow_kg,cruise_tas_kt,cruise_mach,cruise_range_nm,cruise_ceiling_fl,wing_span_m,length_m,height_m,crew,seats_typical,seats_max,pax
AA5,AMERICAN AA-5 Traveler,AMERICAN,L1P,L,NA,1000,128,NA,500,85,9.6,6.7,2.4,1,3,3,4
AT8T,AIR TRACTOR AT-802,AIR TRACTOR,L1T,L,NA,7200,170,NA,690,100,18,10.9,3.8,NA,NA,NA,NA
B58T,BEECH 58P Pressurized Baron,BEECH,L2P,L,NA,2800,220,NA,1080,200,11.5,9.1,2.7,1,6,6,7
BE35,BEECH 35 Bonanza,BEECH,L1P,L,NA,1200,148,NA,480,140,10,7.6,2.5,NA,NA,NA,NA
BE4W,BEECH 400XT Beechjet,BEECH,L2J,M,NA,7300,447,NA,2160,390,13.3,14.8,4.2,NA,NA,NA,NA
BR23,BRM AERO Bristell B23,BRM,L1P,L,NA,800,117,NA,600,NA,9.2,6.5,2.3,1,0,1,2
BW60,BLACKWING BW-600,BLACKWING,L1P,L,NA,600,150,NA,NA,NA,8.4,NA,NA,1,0,1,2
C125,NORTHROP C-125 Raider,NORTHROP,L3P,M,NA,19000,149,NA,1610,100,26.3,20.4,7,NA,NA,NA,NA
C170,CESSNA 170,CESSNA,L1P,L,NA,900,104,NA,370,110,11,7.6,2,NA,NA,NA,NA
C175,CESSNA 175,CESSNA,L1P,L,NA,1000,118,NA,510,120,11,7.6,2.7,NA,NA,NA,NA
C180,CESSNA 180,CESSNA,L1P,L,NA,1200,141,NA,890,150,10.8,7.9,2.2,1,5,5,6
C240,CESSNA T240 Corvalis TTx,CESSNA,L1P,L,NA,1600,235,NA,1250,NA,11,7.7,2.7,NA,NA,NA,NA
C295,AIRBUS C-295,AIRBUS,L2T,M,NA,23200,260,NA,730,250,25.8,24.4,8.8,NA,NA,NA,NA
C408,CESSNA 408 SkyCourier,CESSNA,L2T,M,NA,8600,210,NA,386,NA,22,16.7,6.4,NA,NA,NA,NA
C55B,CESSNA 550B Citation Bravo,CESSNA,L2J,L,NA,6800,403,0.7,2300,350,15.9,14.3,4.5,NA,NA,NA,NA
C5M,LOCKHEED C-5 Super Galaxy,LOCKHEED,L4J,H,NA,381000,490,0.77,2400,NA,66.8,75.5,19.8,NA,NA,NA,NA
C68A,CESSNA 680A Citation Latitude,CESSNA,L2J,M,NA,13900,368,NA,2700,NA,22,19,6.3,NA,NA,NA,NA
C700,CESSNA 700 Citation Longitude,CESSNA,L2J,M,NA,17900,483,NA,3500,430,21,22.3,5.9,NA,NA,NA,NA
C72R,AVIONES COLOMBIA 172RG,AVIONES COLOMBIA,L1P,L,NA,1200,140,NA,700,150,11,8.1,2.7,NA,NA,NA,NA
C82S,CESSNA T182 Turbo Skylane,CESSNA,L1P,L,NA,1400,156,NA,NA,140,11,8.7,2.6,NA,NA,NA,NA
C82T,CESSNA TR182 Turbo Skylane RG,CESSNA,L1P,L,NA,1400,145,NA,930,140,11,8.7,2.6,NA,NA,NA,NA
CE43,CERVA CE-43 Guepard,CERVA,L1P,L,NA,1400,170,NA,NA,140,10,7.8,NA,1,4,4,5
COL3,CESSNA 350,CESSNA,L1P,L,NA,1500,191,NA,1100,150,11,7.6,2.7,1,3,3,4
COL4,CESSNA 400,CESSNA,L1P,L,NA,1500,190,NA,1380,150,11,7.6,2.7,NA,NA,NA,NA
D253,CENTRE EST DR-253 Regent,CENTRE,L1P,L,NA,NA,134,NA,NA,130,8.7,6.9,1.8,1,3,3,4
DA62,DIAMOND DA-62,DIAMOND,L2P,L,NA,2300,185,NA,NA,120,14.5,9.1,2.8,NA,NA,NA,NA
DAL4,DALLACH D-4 Fascination,DALLACH,L1P,L,NA,500,133,NA,700,NA,9,6.9,1.8,NA,NA,NA,NA
DC6,DOUGLAS C-118 Liftmaster,DOUGLAS,L4P,M,NA,48100,270,NA,4300,180,35.8,30.6,8.6,NA,NA,NA,NA
E390,EMBRAER KC-390,EMBRAER,L2J,M,NA,87000,470,NA,3140,NA,33.9,33.5,11.4,NA,NA,NA,NA
ERCO,AIR PRODUCTS F-1 Aircoupe,AIR PRODUCTS,L1P,L,NA,500,107,NA,430,145,9.1,6.1,1.9,1,1,1,2
FA6X,DASSAULT Falcon 6X,DASSAULT,L1P,M,NA,35100,NA,0.8,5500,NA,25.9,25.6,7.4,NA,NA,NA,NA
FA8X,DASSAULT Falcon 8X,DASSAULT,L3J,M,NA,33100,370,NA,6400,450,26.3,24.4,7.9,NA,NA,NA,NA
G120,GROB G-120,GROB,L1P,L,NA,1400,166,NA,830,120,10.1,8,2.5,1,1,1,2
G12T,GROB G-120TP,GROB,L1T,L,NA,1600,220,NA,580,NA,10.1,8,2.5,NA,NA,NA,NA
GA5C,GULFSTREAM AEROSPACE G-7 Gulfstream G500,GULFSTREAM AEROSPACE,L2J,M,NA,34800,488,0.85,5000,410,26.7,28.2,7.8,NA,NA,NA,NA
GA6C,GULFSTREAM AEROSPACE G-7 Gulfstream G600,GULFSTREAM AEROSPACE,L2J,M,NA,41500,488,0.85,6200,410,29,29.2,7.8,NA,NA,NA,NA
GA7,GRUMMAN AMERICAN GA-7 Cougar,GRUMMAN,L2P,L,NA,1700,160,NA,1140,150,11.3,9,3.1,1,3,3,4
GA7C,GULFSTREAM AEROSPACE G-8 Gulfstream G700,GULFSTREAM AEROSPACE,L2J,M,NA,48800,NA,0.85,7500,410,31.3,33.4,7.7,NA,NA,NA,NA
GA8,GIPPSAERO GA-8 Airvan,GIPPSAERO,L1P,L,NA,1900,120,NA,650,160,12.3,9,3.9,NA,NA,NA,NA
GY80,GARDAN GY-80 Horizon,GARDAN,L1P,L,NA,1100,126,NA,480,120,9.7,6.6,2.6,1,3,3,4
H160,AIRBUS HELICOPTERS H-160,AIRBUS HELICOPTERS,H2T,L,NA,6000,138,NA,475,95,NA,14,4,NA,NA,NA,NA
HA4T,HAWKER BEECHCRAFT 4000 Hawker 4000,HAWKER,L2J,M,NA,16300,0.82,NA,3400,350,18.8,21,6,2,8,14,16
K100,DAHER Kodiak 100,DAHER,L1T,L,NA,3200,183,NA,1132,NA,13.7,10.4,4.6,NA,NA,NA,NA
KODI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L200,LET L-200 Morava,LET,L2P,L,NA,1900,138,NA,950,130,12.3,8.6,2.2,1,4,4,5
LEG2,LANCAIR Legacy,LANCAIR,L1P,L,NA,1000,230,NA,1500,180,7.7,6.7,NA,1,1,1,2
LJ75,LEARJET 75,LEARJET,L2J,M,NA,9700,432,0.75,2040,450,14,17.6,4.3,NA,NA,NA,NA
M28,PZL-MIELEC M-28 Skytruck,PZL-MIELEC,L2T,L,NA,7500,165,NA,800,200,22,13.1,4.9,NA,NA,NA,NA
M346,AERMACCHI M-346 Master,AERMACCHI,L2J,M,NA,9500,572,NA,1070,NA,9.7,11.5,4.7,NA,NA,NA,NA
M7,MAULE M-7-235 Orion,MAULE,L1P,L,NA,1200,126,NA,420,140,10.2,7.1,1.9,1,4,4,5
MF17,PAKISTAN Mushshak,PAKISTAN,L1P,L,NA,1200,112,NA,550,100,8.8,7,2.6,NA,NA,NA,NA
P06T,TECNAM P-2006T,TECNAM,L2P,L,NA,1200,135,NA,620,NA,11.4,8.7,2.9,NA,NA,NA,NA
P212,TECNAM P-2012 Traveller,TECNAM,L2P,L,NA,3400,175,NA,600,100,13.5,11.4,4,NA,NA,NA,NA
P28S,AICSA PA-28R-201T Turbo Arrow 3,AICSA,L1P,L,NA,1300,172,NA,910,150,10.8,8.3,2.5,NA,NA,NA,NA
P28U,AICSA PA-28RT-201T Turbo Arrow 4,AICSA,L1P,L,NA,1200,170,NA,700,140,10.8,7.6,2.4,NA,NA,NA,NA
P750,PACIFIC AEROSPACE 750XL,PACIFIC,L1T,L,NA,3400,160,NA,580,200,12.8,11.6,4,NA,NA,NA,NA
P8,BOEING P-8 Poseidon,BOEING,L2J,M,NA,86400,440,NA,NA,NA,37.7,39.5,12.8,NA,NA,NA,NA
PA24,PIPER PA-24 Comanche,PIPER,L1P,L,NA,1400,185,NA,960,140,10.9,7.6,2.3,1,3,5,6
PA30,AICSA PA-30 Twin Comanche,AICSA,L2P,L,NA,1600,168,NA,1130,140,11.2,7.6,2.5,NA,NA,NA,NA
PNR4,ALPI Pioneer 400,ALPI,L1P,L,NA,800,120,NA,540,150,8.8,7,NA,NA,NA,NA,NA
Q4,NORTHROP GRUMMAN RQ-4 Global Hawk,NORTHROP GRUMMAN,L1J,M,NA,14600,310,NA,12300,NA,39.9,14.5,4.7,NA,NA,NA,NA
R66,ROBINSON R-66,ROBINSON,H1T,L,NA,NA,NA,NA,NA,80,NA,NA,3.4,1,4,4,5
R90R,RUSCHMEYER MF-85,RUSCHMEYER,L1P,L,NA,1300,144,NA,740,120,9.5,7.9,2.7,NA,NA,NA,NA
RV10,VAN'S RV-10,VAN'S,L1P,L,NA,1200,170,NA,1000,140,10,7.5,2.6,1,4,4,5
S208,SIAI-MARCHETTI S-208,SIAI-MARCHETTI,L1P,L,NA,1500,162,NA,970,150,11.2,8,2.9,NA,NA,NA,NA
S22T,CIRRUS SR-22T,CIRRUS,L1P,L,NA,1600,183,NA,1000,170,11.7,7.9,2.7,NA,NA,NA,NA
SB35,SAAB 35 Draken,SAAB,L1J,M,NA,16000,421,NA,1800,NA,9.4,15.4,3.9,1,0,0,1
SIRA,TECNAM P-2002 Sierra,TECNAM,L1P,L,NA,600,119,NA,NA,100,8.6,6.6,2.4,NA,NA,NA,NA
T2,NORTH AMERICAN T-2 Buckeye,NORTH,L2J,L,NA,5900,361,NA,930,NA,11.6,11.7,4.5,1,1,1,2
T206,CESSNA T206 Turbo Stationair,CESSNA,L1P,L,NA,1600,146,NA,NA,NA,11,9.2,3.1,NA,NA,NA,NA
T210,CESSNA T210 Turbo Centurion,CESSNA,L1P,L,NA,1800,193,NA,900,NA,11.2,8.6,2.9,NA,NA,NA,NA
TB21,SOCATA TB-21 Trinidad TC,SOCATA,L1P,L,NA,1300,129,NA,1100,200,9.7,7.7,2.9,1,4,4,5
TBM9,DAHER TBM-700N (TBM-930),DAHER,L1T,L,NA,3300,250,NA,1700,NA,12.8,10.7,4.3,NA,NA,NA,NA
TEX2,BEECHCRAFT T-6 Texan 2,BEECHCRAFT,L1T,L,NA,3000,230,NA,900,NA,10.1,10.1,3.2,2,0,0,2
TWEN,TECNAM P-2010 Twenty-Ten,TECNAM,L1P,L,NA,1100,133,NA,715,80,10.3,7.7,2.7,NA,NA,NA,NA
U2,LOCKHEED ER-2,LOCKHEED,L1J,M,NA,11000,400,NA,2500,NA,24.5,15.2,4.5,NA,NA,NA,NA
VF35,LOCKHEED MARTIN F-35B Lightning 2,LOCKHEED MARTIN,L1J,M,NA,29700,NA,NA,800,NA,10.6,15.6,4.6,NA,NA,NA,NA
VL3,AVEKO VL-3,AVEKO,L1P,L,NA,600,110,NA,730,100,11.2,6.2,2,NA,NA,NA,NA
VTOR,PARTENAVIA AP-68TP-600 Viator,PARTENAVIA,L2T,L,NA,2000,170,NA,NA,200,12,10.9,3.6,NA,NA,NA,NA
W3,PZL-SWIDNIK S-1 Procjon,PZL-SWIDNIK,H2T,L,NA,6400,121,NA,400,80,NA,14.2,5.1,NA,NA,NA,NA
WACF,CLASSIC Waco Classic,CLASSIC,L1P,L,NA,1100,95,NA,NA,100,9.1,8.1,2.6,1,1,1,2
XL2,DISCOVERY XL-2,DISCOVERY,L1P,L,NA,800,120,NA,500,100,8.5,6.2,2.2,1,1,1,2
Z42,MORAVAN Firnas 142,MORAVAN,L1P,L,NA,1300,127,NA,720,100,9.7,7.7,2.9,1,1,1,2
