icao,name,manufacturer,type,wtc,recat_eu,mtow_kg,cruise_tas_kt,cruise_mach,cruise_range_nm,cruise_ceiling_fl,wing_span_m,length_m,height_m,pax
A109,AW109 Power,AgustaWestland,H2T,L,Light,3000,140,NA,521,19600,11,13.04,3.5,8
A124,An124 Ruslan,ANTONOV,L4J,H,Super Heavy,405000,430,0.78,3200,390,73.3,69.1,21.1,92
A19N,A319neo,AIRBUS,L2J,M,Upper Medium,75500,450,0.78,3750,390,35.8,33.84,11.76,162
A20N,A320neo,AIRBUS,L2J,M,Upper Medium,79000,450,0.78,3500,390,35.8,37.57,11.76,196
A21N,A321neo,AIRBUS,L2J,M,Upper Medium,97000,450,0.78,4000,390,35.8,44.51,11.76,246
A306,A-300-600,AIRBUS,L2J,H,Lower Heavy,171700,470,0.79,4150,370,44.84,54.1,16.54,300
A30B,A300,AIRBUS,L2J,H,Lower Heavy,165000,470,0.79,3000,350,44.8,53.6,16.5,NA
A310,A-310,AIRBUS,L2J,H,Lower Heavy,150000,480,0.8,5100,400,43.9,46.66,15.8,249
A318,A318,AIRBUS,L2J,M,Upper Medium,59000,460,0.79,1500,390,34.1,31.45,12.56,119
A319,A319,AIRBUS,L2J,M,Upper Medium,64000,450,0.79,1800,390,34.1,33.84,11.76,144
A320,A320,AIRBUS,L2J,M,Upper Medium,73900,450,0.79,2700,390,34.1,37.57,11.76,182
A321,A321,AIRBUS,L2J,M,Upper Medium,83000,450,0.79,2350,410,34.1,44.51,11.76,222
A332,A330-200,AIRBUS,L2J,H,Upper Heavy,230000,470,0.81,6750,410,60.3,58.8,17.4,295
A333,A330-300,AIRBUS,L2J,H,Upper Heavy,230000,475,0.81,5650,410,60.3,63.6,16.85,337
A338,A330-800,AIRBUS,L2J,H,Upper Heavy,251000,475,0.81,8150,410,64,58.82,17.39,408
A339,A330-900,AIRBUS,L2J,H,Upper Heavy,251000,475,0.81,7200,410,64,63.66,16.79,442
A342,A340-200,AIRBUS,L4J,H,Upper Heavy,275000,490,0.82,8000,410,60.3,59.39,16.7,302
A343,A340-300,AIRBUS,L4J,H,Upper Heavy,275000,490,0.82,7200,410,60.3,63.6,16.85,337
A345,A340-500,AIRBUS,L4J,H,Upper Heavy,368000,480,0.82,8800,410,63.45,67.9,17.1,361
A346,A340-600,AIRBUS,L4J,H,Upper Heavy,368000,480,0.82,7750,410,63.45,75.3,17.3,421
A359,A350-900 XWB,AIRBUS,L2J,H,Upper Heavy,268000,490,0.85,8100,430,64.8,66.9,17.05,477
A35K,A350-1000 XWB,AIRBUS,L2J,H,Upper Heavy,319000,490,0.85,8700,410,64.75,73.79,17.08,482
A388,A-380-800,AIRBUS,L4J,J,Super Heavy,560000,520,0.85,8000,430,79.8,73,24.1,855
A3ST,A300ST Beluga,AIRBUS,L2J,H,Lower Heavy,155000,400,0.69,2500,310,44.8,56.2,17.2,2
A4,Skyhawk,McDonnell Douglas Corporation (United States),L1J,M,Light,11136,580,0.88,1700,420,8.4,12.2,4.6,NA
A400,A-400M Atlas,AIRBUS,L4T,H,Lower Heavy,141000,422,0.72,1800,400,42.4,43.8,14.6,119
AC11,112 Commander 112,COMMANDER,L1P,L,Light,1480,150,NA,750,160,10,7.6,2.6,5
AEST,"600,601 (AEROSTAR)",AEROSTAR (1),L2P,L,Light,2860,230,NA,1200,290,11.2,10.6,3.9,6
AJET,Alpha Jet,DASSAULT,L2J,M,Light,7000,500,0.83,1200,480,9.1,12.3,4.2,2
AN12,An12,ANTONOV,L4T,M,Upper Medium,61000,310,NA,2100,330,38,33,10.5,95
AN26,An26,ANTONOV,L2T,M,Lower Medium,24000,235,NA,600,260,29.2,23.8,8.6,45
AN28,An28,PZL-MIELEC,L2T,L,Light,6500,170,NA,550,200,22.1,13,4.6,22
AN30,An-30,ANTONOV,L2T,M,Lower Medium,21800,235,NA,1400,270,29.2,24.3,8.3,54
AN32,"An-32,Firekiller (Sutlej)",ANTONOV,L2T,M,Lower Medium,27000,250,NA,900,300,29.2,23.7,8.8,3
AS32,Super Puma,EUROCOPTER,H2T,M,Light,9350,140,NA,460,170,16.2,16.79,4.97,21
ASTR,Gulfstream G100,Israel Aerospace Industries (IAI),L2J,M,Light,11180,470,0.83,2500,450,16.1,16.9,5.5,11
AT43,ALENIA ATR-42-300/320,ATR,L2T,M,Lower Medium,16700,255,NA,1700,250,24.6,22.7,7.6,52
AT44,ATR-42-400,ATR,L2T,M,Lower Medium,17900,260,NA,1700,250,24.6,22.7,7.6,52
AT45,ALENIA ATR-42-500,ATR,L2T,M,Lower Medium,18600,300,NA,1000,260,24.6,22.7,7.6,52
AT72,ALENIA ATR-72,ATR,L2T,M,Lower Medium,21500,275,NA,1500,250,27.1,27.2,7.7,74
AT75,ATR-72-500,ATR,L2T,M,Lower Medium,23000,280,NA,825,250,27.05,27.17,7.65,80
ATLA,1150 Atlantic,BREGUET,L2T,M,Upper Medium,43500,275,NA,2200,320,36.3,31.7,11.3,12
ATP,ATP,BRITISH AEROSPACE,L2T,M,Lower Medium,22930,266,NA,1000,250,30.6,26,7.6,72
B06,Bell JetRanger,Bell Aircraft Corporation (United States),H1T,L,Light,1451,120,NA,374,135,10.16,12.11,2.83,5
B190,1900 (C-12J),RAYTHEON,L2T,M,Light,7690,270,NA,1500,250,17.7,17.6,4.7,20
B350,B300 Super King Air 350,HAWKER BEECHCRAFT,L2T,L,Light,6800,300,0.47,1800,350,17.7,14.2,4.4,15
B38M,BOEING 737 MAX 8,BOEING,L2J,M,Upper Medium,82600,453,0.79,3550,410,35.9,39.52,12.29,212
B39M,BOEING 737 MAX 9,BOEING,L2J,M,Upper Medium,88300,453,0.79,3550,410,35.9,42.16,12.29,222
B412,Agusta-Bell 412 Grifone,BELL,H2T,L,Light,5397,125,NA,402,200,14,17.1,4.6,14
B463,BAe-146-300,BRITISH AEROSPACE,L4J,M,Lower Medium,46000,380,0.65,1100,310,26.34,31,8.61,130
B703,707-300,BOEING,L4J,H,Lower Heavy,150800,470,0.8,5000,390,44.4,46.6,12.9,223
B712,717-200,BOEING,L2J,M,Lower Medium,54885,435,0.76,2060,370,28.5,37.8,8.9,NA
B722,727-200,BOEING,L3J,M,Upper Medium,95300,450,0.8,2500,400,32.9,46.7,10.4,192
B732,737-200,BOEING,L2J,M,Lower Medium,52390,400,0.72,1200,370,28.3,30.5,11.3,132
B733,737-300,BOEING,L2J,M,Lower Medium,56470,429,0.74,1600,370,28.9,33.4,11.1,151
B734,737-400,BOEING,L2J,M,Lower Medium,62820,430,0.74,2100,370,28.9,36.4,11.1,170
B735,737-500,BOEING,L2J,M,Lower Medium,52390,430,0.74,1600,370,28.9,31,11.1,140
