icao,name,manufacturer,type,wtc,recat_eu,mtow_kg,cruise_tas_kt,cruise_mach,cruise_range_nm,cruise_ceiling_fl,wing_span_m,length_m,height_m,pax
A139,AW-139,AGUSTAWESTLAND,H2T,L,NA,6000,157,NA,400,120,13.8,13.53,4.95,NA
A169,AW-169,AGUSTAWESTLAND,H2T,NA,NA,4500,150,NA,500,NA,12.12,14.65,4.5,NA
A189,AW-189,AGUSTAWESTLAND,H2T,NA,NA,8300,155,NA,490,NA,14.6,17.6,5.06,NA
A337,A-330-700 Beluga XL,AIRBUS,L2J,H,NA,227000,400,NA,2300,350,60.3,63.1,18.9,NA
AC90,Turbo Commander 690,NORTH AMERICAN ROCKWELL,L2T,L,NA,4600,250,NA,740,290,14.95,11.22,4.56,NA
AS50,AS-350 Ecureuil,AEROSPATIALE,H2T,L,NA,2100,125,NA,410,160,10.69,12.93,3.03,NA
AS65,AS-365 Dauphin 2,AEROSPATIALE,H2T,L,NA,3000,148,NA,367,155,11.5,13.2,3.5,NA
AT46,ATR-42-600,ATR,L2T,M,NA,18600,300,NA,716,260,24.57,22.67,7.59,NA
AT73,ATR-72-210,ATR,L2T,M,NA,21500,279,NA,805,250,27.05,27.17,7.65,NA
AT76,ATR-72-600,ATR,L2T,M,NA,23000,275,NA,825,250,27.05,27.17,7.65,NA
B429,B-429,BELL,H2T,NA,NA,3175,150,NA,390,200,10.97,12.7,4.04,NA
BE30,300 Super King Air,BEECH,L2T,L,NA,6300,315,NA,1960,350,16.61,13.34,4.57,NA
BER2,Be-200 Altair,BERIEV,A2J,M,NA,37900,348,NA,1300,260,32.8,32,8.9,NA
BN2P,BN-2 Islander,BRITTEN-NORMAN,L2P,L,NA,2994,139,NA,756,132,14.94,10.86,4.18,NA
C10T,P210 (turbine),CESSNA,L1T,L,NA,1814,193,NA,900,270,11.2,8.59,2.95,NA
C27J,C-27J Spartan,ALENIA,L2T,M,NA,31800,315,NA,1200,300,28.7,22.7,10.5,NA
C501,501 Citation 1SP,CESSNA,L2J,L,NA,6000,320,NA,NA,410,14.4,13.3,4.4,NA
C510,510 Citation Mustang,CESSNA,L2J,L,NA,3500,340,NA,1300,410,13.16,12.37,4.09,NA
C551,551 Citation II SP,CESSNA,L2J,L,NA,6800,384,NA,2000,430,15.9,14.39,4.57,NA
C77R,177RG Cardinal RG,CESSNA,L1P,L,NA,1200,144,NA,480,170,10.82,8.44,2.62,NA
DH8B,Dash 8 Q200,BOMBARDIER,L2T,M,NA,16400,270,NA,1100,250,25.89,22.25,7.49,NA
E290,E190-E2,EMBRAER,L2J,M,NA,56400,NA,NA,2850,410,33.7,36.2,11,NA
E295,E195-E2,EMBRAER,L2J,M,NA,61500,NA,NA,2600,410,35.1,41.5,10.9,NA
